post_id,from_name,from_id,message,post_type,created_time,created_updated
304981108326_233605303396104,"Ed Tallerico",1040203211,"We dedicate this song to the Cheney / Rove machine!! Thank you for screwing all of us!!",video,2012-02-18T20:48:40+0000,2012-02-18T20:48:40+0000
304981108326_245746425511547,"Lynda Park",569646892,"""Twenty-two states have laws or regulations that resemble, at least in part, the Obama administration's original rule. More than a third had some Republican support, a review of state records shows.

In six states, including Arkansas, those contraceptive mandates were signed by GOP governors.

In Massachusetts in 2006, then-Gov. Mitt Romney signed a healthcare overhaul that kept in place a contraceptive mandate signed by his Republican predecessor. Now the GOP presidential candidate is calling the Obama rule an 'assault on religion.'""",link,2012-02-18T19:45:39+0000,2012-02-18T19:45:39+0000
304981108326_2561178599803,"Jeff Pass",1564205244,"At Presidential chat-and-chew dinner with Silicon Valley executives:

Obama: ""What would it take to make iPhones in the United States?""
Jobs:  ""Those jobs aren't coming back.""
Obama: ""Okay.""",photo,2012-02-18T19:01:59+0000,2012-02-18T19:15:00+0000
304981108326_315727745142034,"Join the Coffee Party Movement",304981108326,"Happening now: Egberto Willies interviews Coffee Party members who are running for Congress with the aid of an new website called BeYourGovernment.org 

Listen live: http://ow.ly/99rJg Or call in and join the show: (646) 929-2495",link,2012-02-18T18:07:22+0000,2012-02-18T18:07:22+0000
304981108326_274346215970933,"Curtis Occupy Globally Bard",1312873854,"HIGH PRIORITY THREAD
PLEASE REPOST TO ALL COFFEE PARTY & OCCUPY SUPPORT & CITY GROUPS.
PLEASE KEEP AND USE THIS THREAD FOR HIGH PRIORITY POSTS ONLY.
(Bump up, and keep clean of miscellaneous comments.)

Anonymous: #Occupy Solidarity March 2/27/2012

http://youtu.be/_DNi540b2hk",video,2012-02-18T18:01:42+0000,2012-02-18T18:01:42+0000
304981108326_10150815732158327,"James Gonzalez",1678980264,"Now we could work on reversing ""At Will"" States and Implementing the ""Public Option.""",status,2012-02-18T16:27:33+0000,2012-02-18T16:27:33+0000
304981108326_386958204663408,"Join the Coffee Party Movement",304981108326,"""...Justice Ginsburg joined by Justice Breyer, issued a concurring statement making clear that [the Montana campaign finance] case is 'an opportunity to consider whether, in light of the huge sums currently deployed to buy candidates' allegiance, Citizens United should continue to hold sway.'"" —John Bonifaz, Free Speech for People",link,2012-02-18T16:12:37+0000,2012-02-18T16:12:37+0000
304981108326_144932408961246,"Jen DiOrio",885525371,http://tv.naturalnews.com/v.asp?v=7FC9A6050DC13A2B6606084CED94863C,link,2012-02-18T16:06:32+0000,2012-02-18T19:55:42+0000
304981108326_305398982854610,"John Viall",100000818259692,"Am I crazy, or are standardized tests just nuts?",link,2012-02-18T15:59:23+0000,2012-02-18T15:59:23+0000
304981108326_10150815635603327,"Alice M. Stewart",1357726501,"How can Rick Santorum speak at Abba's House in Chattanooga?  Question: Shouldn't Abba's  House lose it tax exempt for using it's church as a political meeting ground?  The Tea Party is  a political party and the sponser  of this event.  Someone needs to call the ACLU.",status,2012-02-18T15:52:54+0000,2012-02-18T15:52:54+0000
304981108326_111204749008839,"Ray Schiller",1255273637,"An indepth analysis of ""people who think they are ordinary Republicans""!",link,2012-02-18T15:38:03+0000,2012-02-18T15:38:03+0000
304981108326_10150815590428327,"Priscilla Kimboko",1543089000,"I do prefer coffee to tea, and when I have tea, it's the green tea I choose!  An alternative approach to democracy, civility, and economic security.",status,2012-02-18T15:32:03+0000,2012-02-18T15:32:03+0000
304981108326_317657421614914,"Jen DiOrio",885525371,"Please read the info and sign the petition, if you are so inclined. http://www.change.org/petitions/new-jersey-legislature-stop-the-addition-of-fluoride-to-our-drinking-water",link,2012-02-18T15:14:00+0000,2012-02-18T15:14:00+0000
304981108326_240733466013455,"Join the Coffee Party Movement",304981108326,"""An overwhelming percent of small business owners agree that without fair regulations creating a level playing field, small businesses won't be able to compete against big businesses. From our perspective, the effort to kill regulations is big businesses' way of rigging the game in their favor."" —Frank Knapp, Jr, Am. Sustainable Business Council",link,2012-02-18T14:00:12+0000,2012-02-18T14:00:12+0000
