post_id,comment_id,comment_from_name,message,comment_created
304981108326_2561178599803,304981108326_2561178599803_1426287,"Jeff Pass",http://www.illinoistimes.com/Springfield/article-9665-whatrss-in-your-iphone.html,2012-02-18T19:02:16+0000
304981108326_2561178599803,304981108326_2561178599803_1426305,"Jeff Pass","The Illinois Times article link above is a great read. I especially like where Jobs talks about one of his Chinese factories: ""Its a factory, but my gosh, I mean they've got restaurants and movie theatres and hospitals and swimming pools....... its a pretty nice factory.""

Independent investigators disagreed in their report- instead, 72-hour work weeks, forced overtime, debilitating stress injuries, child labor, overcrowded barracks....chemical poisonings, falsified records, humiliating punishments and deadly explosions were the realities of that ""pretty nice factory.""

Jim Hightower makes a great comment when he says apparently Jobs had no ""app for corporate morality.""

The icing on the cake..... Steve Jobs later tells roll-over-Obama to expect himself to be a one-term President. Because after all, he didn't play ball and aid in outsourcing America's jobforce (and exploiting Chinese workers) enough:

http://www.theblaze.com/stories/steve-jobs-told-obama-in-2010-youre-headed-for-a-one-term-presidency/",2012-02-18T19:15:00+0000
304981108326_144932408961246,304981108326_144932408961246_225877,"Join the Coffee Party Movement","Jen DiOrio, please refrain multiple postings  on the same subject.  It feels like spam. We ask that people participate here in the spirit of engagement rather than advertisement.",2012-02-18T18:04:19+0000
304981108326_144932408961246,304981108326_144932408961246_226245,"Jen DiOrio","Got it. I am sharing info on fluoride because water fluoridation is a highly undemocratic means of disposing a toxic substance under the guise of medicating for the purpose of dental health. I thought the Coffee Party would take interest.",2012-02-18T19:55:42+0000
304981108326_10150815327548327,304981108326_10150815327548327_25888488,"Jen DiOrio","It is illegal to dump fluoride into the lakes and rivers because it is a hazardous waste. Are we less important than the fish?",2012-02-18T13:31:47+0000
304981108326_10150815327548327,304981108326_10150815327548327_25889027,"Jen DiOrio","Thousands of experts have signed a statement saying that fluoride is toxic and should not be ingested. http://www.fluoridealert.org/professionals-statement.html",2012-02-18T14:05:18+0000
304981108326_10150815327548327,304981108326_10150815327548327_25889338,"Jen DiOrio","If passed, this bill will turn into an UNFUNDED Mandate. Your water bill will go up 5%. The NJ League of Municipalities is OPPOSED to this bill, as are other groups/organizations.",2012-02-18T14:27:30+0000
304981108326_10150814642773327,304981108326_10150814642773327_25882956,"Nadia Sindi","Please check 'LIKE' on my page♥. I need your help & support :)) 

https://www.facebook.com/vote4nadiasindi",2012-02-18T05:28:18+0000
304981108326_178394592270530,304981108326_178394592270530_528741,"Scott Kelosky","With or without the pipeline much of the oil will still be moved across America to Texas.    Excerpt from the article…
'Calgary-based TransCanada Corp.'s 1,700-mile pipeline is designed to carry crude oil from tar sands near Hardisty, Alberta, through Montana, South Dakota, Nebraska, Kansas, Oklahoma and Texas. The pipeline also would move 100,000 barrels of crude daily, largely from North Dakota's burgeoning oil patch and some from Montana.
….Wayde Schafer, a North Dakota spokesman for the Sierra Club, said Obama's decision was appropriate though oil that would have moved on the pipeline will be transported by environmentally riskier rail or trucks
""There is no question that oil by rail or truck is much more dangerous than a pipeline, but then again, you have to have adequate time and you have to site a pipeline appropriately or you're just asking for trouble,"" Schafer said.'   http://www.cbsnews.com/8301-505245_162-57363033/more-nd-oil-will-be-railed-with-no-us-pipeline/",2012-02-18T03:04:24+0000
304981108326_178394592270530,304981108326_178394592270530_530020,"Antônio Carlos","The tar sands of Canada constitute a major threat to our planet, ""said NASA scientist James Hansen, one of the biggest names of the research on global warming. For Hansen, the threat is twofold. First, oil sands produce more polluting than the conventional extraction process. Moreover, the activity undermines one of the best tools for reducing carbon on Earth: the Canadian boreal forest. According to the scientist, it stores more carbon per hectare than any other ecosystem, and when it is cleared for the development of the oil sands industry, much of this carbon is lost. Hansen also points out that the forest contains much of the freshwater in North America, in addition to housing some 5 billion migratory birds and some of the largest remaining populations of moose, bears, wolves and caribou in the world. The region of ""Mordor.""",2012-02-18T11:51:35+0000
304981108326_178394592270530,304981108326_178394592270530_530070,"Antônio Carlos","They managed to transform a region of lush prairie, one of the most beautiful landscapes of this planet, in the Region ""Bite."" Before the planet begins to feel the final throes of insanity, the inhabitants of the north america, because they are closer to this region soon feel the devastating effects on their health and quality of life, all in the name of economic greed. Amazing how there is decisive and strong opposition from the Canadian people to stop this madness. Regrettable.",2012-02-18T12:22:14+0000
304981108326_257231701019291,304981108326_257231701019291_1831376,"Ed Tallerico","I will also add, I have no individual political ambition!! My only motivation is to ensure the mess we have in this country isn't left for my children and grandchildren to clean up!!",2012-02-18T00:26:12+0000
304981108326_295478247182693,304981108326_295478247182693_3102371,"Chris McCamic","Glad to see this sorry state of affairs getting some sunlight.",2012-02-17T23:31:11+0000
304981108326_295478247182693,304981108326_295478247182693_3102457,"Pat Hall","It just keeps getting better!",2012-02-18T00:03:34+0000
