post_id,from_name,from_id,message,post_type,created_time,created_updated
20531316728_10150867335071729,Facebook,20531316728,"It's our birthday and we want to thank you for an amazing eight years. You continue to inspire us to provide a service that makes it easy for you to connect with the people and things you care about most.",status,2012-02-04T10:28:49+0000,2012-02-04T10:28:49+0000
20531316728_10150469721182131,Facebook,20531316728,,link,2012-01-19T01:26:53+0000,2012-01-19T01:26:53+0000
20531316728_10150457932027131,Facebook,20531316728,,link,2012-01-12T18:00:00+0000,2012-01-12T18:00:00+0000
20531316728_10150747697746729,Facebook,20531316728,,status,2011-12-15T22:14:50+0000,2011-12-15T22:14:50+0000
20531316728_10150747578131729,Facebook,20531316728,,status,2011-12-15T21:03:31+0000,2011-12-15T21:03:31+0000
20531316728_10150408335607131,Facebook,20531316728,,link,2011-12-15T18:00:09+0000,2011-12-15T18:00:09+0000
20531316728_10150408488962131,Facebook,20531316728,,link,2011-12-15T12:30:57+0000,2011-12-15T12:30:57+0000
20531316728_10150744919526729,Facebook,20531316728,,status,2011-12-14T15:22:29+0000,2011-12-14T15:22:29+0000
20531316728_10150393505147131,Facebook,20531316728,,link,2011-12-07T19:30:01+0000,2011-12-07T19:30:01+0000
20531316728_10150391956652131,Facebook,20531316728,,link,2011-12-07T05:01:05+0000,2011-12-07T05:01:05+0000
20531316728_10150378701937131,Facebook,20531316728,,link,2011-11-29T17:39:16+0000,2011-11-29T17:39:16+0000
20531316728_267683963283404,Facebook,20531316728,"We want to help people find and connect with small businesses on Facebook – and that's why we're supporting the efforts of Small Business Saturday. Like their Facebook page to learn more about shopping small this Saturday, Nov. 26th.",link,2011-11-25T19:49:49+0000,2011-11-25T19:49:49+0000
20531316728_165296226899988,Facebook,20531316728,"Tune in to Facebook Live today at 2 PM PST / 5 PM EST for a live discussion with New Jersey Governor Chris Christie and Facebook's Sheryl Sandberg.  Go to http://www.facebook.com/facebooklive to join the conversation.",link,2011-11-14T21:05:25+0000,2011-11-14T21:05:25+0000
20531316728_263325323713845,Facebook,20531316728,"We’d like to take the opportunity to thank the millions of active duty service members, veterans and military families who sacrifice so much in service of their country. Today we are announcing a series of programs we are launching to help service members and their families stay connected though Facebook. Take a minute to thank military personnel and families at http://on.fb.me/nationgivesthanks.",link,2011-11-10T01:38:48+0000,2011-11-10T01:38:48+0000
20531316728_291364440887788,Facebook,20531316728,"Watch Mark Zuckerberg and Sheryl Sandberg as they sit down with Charlie Rose to talk about the evolution of Facebook. ",video,2011-11-09T03:35:49+0000,2011-11-09T03:35:49+0000
20531316728_10150664700361729,Facebook,20531316728,,photo,2011-11-09T00:10:12+0000,2011-11-09T00:10:12+0000
20531316728_296617733681934,Facebook,20531316728,,link,2011-10-19T19:03:16+0000,2011-10-19T19:03:16+0000
20531316728_227643797297134,Facebook,20531316728,,link,2011-10-10T20:43:43+0000,2011-10-10T20:43:43+0000
20531316728_243507375696500,Facebook,20531316728,"Starting today, in addition to your smartphone or feature phone apps,  there’s a new way to experience Facebook—the iPad app. Now you can enjoy your favorite parts of Facebook, combined with the best of the iPad. To get Facebook for iPad today, visit www.facebook.com/ipad.",link,2011-10-10T20:07:24+0000,2011-10-10T20:07:24+0000
20531316728_120107468095483,Facebook,20531316728,"Like Facebook Tips to stay up to date with product announcements, new features, and advice on how to get the most out of Facebook.",link,2011-09-27T23:19:28+0000,2011-09-27T23:19:28+0000
20531316728_198152410257702,Facebook,20531316728,"House Majority Leader Eric Cantor, Majority Whip Kevin McCarthy and Budget Chairman Paul Ryan will join Facebook's Sheryl Sandberg on Facebook Live. Don't forget to tune in at 3 p.m. PT/6 p.m. ET.",link,2011-09-26T20:58:21+0000,2011-09-26T20:58:21+0000
20531316728_10150420085741729,Facebook,20531316728,"A rumor on the internet caught our attention. We have no plans to charge for Facebook. It's free and always will be.",status,2011-09-26T03:23:55+0000,2011-09-26T03:23:55+0000
20531316728_202223299844341,Facebook,20531316728,"Andy Samberg on stage with Mark at our conference today where we announced timeline.",video,2011-09-22T19:36:20+0000,2011-09-22T19:36:20+0000
20531316728_10150289612087131,Facebook,20531316728,,link,2011-09-22T17:30:48+0000,2011-09-22T17:30:48+0000
20531316728_268472399849975,Facebook,20531316728,,link,2011-09-20T19:31:35+0000,2011-09-20T19:31:35+0000
20531316728_10150280039742131,Facebook,20531316728,,link,2011-09-14T17:00:03+0000,2011-09-14T17:00:03+0000
20531316728_10150278932602131,Facebook,20531316728,,link,2011-09-13T16:59:25+0000,2011-09-13T16:59:25+0000
20531316728_10150387605616729,Facebook,20531316728,"We're testing a feature for people who are very active on Facebook and receive lots of email notifications from us. We'll provide a new summary email and turn off most individual email notifications. If you want to turn them back on, there's a control in your account settings.",photo,2011-09-13T04:22:55+0000,2011-09-13T04:22:55+0000
20531316728_272825896078876,Facebook,20531316728,"Tune in today at 1:30 PM PDT / 4:30 PM EDT for a Facebook Live (http://on.fb.me/fbliveguests) discussion with Oprah Winfrey. Oprah will sit down with Sheryl Sandberg to answer questions you submitted.",link,2011-09-08T19:46:16+0000,2011-09-08T19:46:16+0000
20531316728_242455142464745,Facebook,20531316728,"Tune in to Facebook Live (http://on.fb.me/fblivehq) on Thursday, Sept. 8 at 1:30 PM PT / 4:30 PM ET for a live discussion with Oprah Winfrey. RSVP and share questions for Oprah on the Event Wall. You might hear Oprah answer your question during the live show.",link,2011-09-01T21:27:33+0000,2011-09-01T21:27:33+0000
20531316728_118027121631906,Facebook,20531316728,"Have you or a friend found a job using Facebook? We want to hear from you. Tell us your employment story and we may get in touch about featuring it: http://on.fb.me/mR99zo",link,2011-08-30T22:12:51+0000,2011-08-30T22:12:51+0000
20531316728_10150372191681729,Facebook,20531316728,,status,2011-08-30T19:08:47+0000,2011-08-30T19:08:47+0000
20531316728_183413041731698,Facebook,20531316728,,link,2011-08-26T21:20:44+0000,2011-08-26T21:20:44+0000
20531316728_269535899724801,Facebook,20531316728,,link,2011-08-23T18:00:26+0000,2011-08-23T18:00:26+0000
20531316728_223802871005679,Facebook,20531316728,"Last week we introduced Messenger - a mobile app that gives you a simple way to send messages directly to friends and small groups.  Learn more: www.facebook.com/mobile/messenger",link,2011-08-18T21:07:02+0000,2011-08-18T21:07:02+0000
20531316728_187698317962927,Facebook,20531316728,"Tune in to Facebook Live on Tuesday, August 16th at 6 PM BST / 1 PM EST / 10 AM PST for an Introduction to Facebook Messenger with the team who worked on the app. Learn about a faster way to message on your mobile phone and ask the team questions. Go to www.facebook.com/mobile/messenger to learn more.",link,2011-08-16T16:57:37+0000,2011-08-16T16:57:37+0000
20531316728_197492966976445,Facebook,20531316728,"Facebook Groups is a great way to share information with small groups of people in your life. Want to know more?  Here's a simple guide:",link,2011-08-12T22:16:26+0000,2011-08-12T22:16:26+0000
20531316728_10150251242342131,Facebook,20531316728,,link,2011-08-12T00:21:00+0000,2011-08-12T00:21:00+0000
20531316728_10150354367826729,Facebook,20531316728,"After we made changes to Facebook Chat a few weeks ago, we got a lot of feedback that people missed seeing all of their online friends. Today, we made a change so that Chat now shows the friends who you message the most, as well as the rest of your friends who are currently online.",status,2011-08-11T19:33:13+0000,2011-08-11T19:33:13+0000
20531316728_10150353502026729,Facebook,20531316728,"Rumors claiming that your phone contacts are visible to everyone on Facebook are false. Our Contacts list, formerly called Phonebook, has existed for a long time. The phone numbers listed there were either added by your friends themselves and made visible to you, or you have previously synced your phone contacts with Facebook. Just like on your phone, only you can see these numbers.",status,2011-08-10T20:21:11+0000,2011-08-10T20:21:11+0000
